date,product_code,product,variant,sold_quantity,gross_price_total
01/09/2020,A0118150101,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Standard,202,3849.57
01/09/2020,A0118150102,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Plus,162,3475.95
01/09/2020,A0118150103,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium,193,4203.44
01/09/2020,A0118150104,AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,Premium Plus,146,3354.04
01/09/2020,A0219150201,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Standard,149,3531.11
01/09/2020,A0219150202,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Plus,107,2646.24
01/09/2020,A0220150203,AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,Premium,123,2904.69
01/09/2020,A0320150301,AQ Zion Saga,Standard,146,3463.46
01/09/2020,A0321150302,AQ Zion Saga,Plus,236,6396.24
01/09/2020,A0321150303,AQ Zion Saga,Premium,137,3836.81
01/09/2020,A0418150103,AQ Mforce Gen X,Standard 3,23,449.04
01/09/2020,A0418150104,AQ Mforce Gen X,Plus 1,82,1633.76
01/09/2020,A0418150105,AQ Mforce Gen X,Plus 2,86,1726.59
01/09/2020,A0418150106,AQ Mforce Gen X,Plus 3,48,956.95
01/09/2020,A0519150201,AQ Mforce Gen Y,Standard 1,138,3090.98
01/09/2020,A0519150202,AQ Mforce Gen Y,Standard 2,72,1794.95
01/09/2020,A0519150203,AQ Mforce Gen Y,Standard 3,38,1010.31
01/09/2020,A0519150204,AQ Mforce Gen Y,Plus 1,149,3890.11
01/09/2020,A0519150205,AQ Mforce Gen Y,Plus 2,29,861.32
01/09/2020,A0519150206,AQ Mforce Gen Y,Plus 3,28,874.83
01/09/2020,A0519150207,AQ Mforce Gen Y,Premium 1,171,5547.7
01/09/2020,A0519150208,AQ Mforce Gen Y,Premium 2,118,3608.63
01/09/2020,A0619150301,AQ Mforce Gen Z,Standard 1,51,1553.95
01/09/2020,A0619150302,AQ Mforce Gen Z,Standard 2,191,6512.58
01/09/2020,A0620150303,AQ Mforce Gen Z,Standard 3,167,5718.28
01/09/2020,A0620150304,AQ Mforce Gen Z,Plus 1,122,4585.08
01/09/2020,A0620150305,AQ Mforce Gen Z,Plus 2,173,6326.25
01/09/2020,A0620150306,AQ Mforce Gen Z,Plus 3,182,6830.06
01/09/2020,A0621150307,AQ Mforce Gen Z,Premium 1,177,6415.08
01/09/2020,A0621150308,AQ Mforce Gen Z,Premium 2,166,6540.23
01/09/2020,A0721150401,AQ GT 21,Standard,22,865.43
01/09/2020,A0721150402,AQ GT 21,Plus 1,62,2427.08
01/09/2020,A0721150403,AQ GT 21,Plus 2,57,2240.04
01/09/2020,A0721150404,AQ GT 21,Premium,182,7120.11
01/09/2020,A0821150501,AQ Marquee P3,Standard,120,4860.16
01/09/2020,A0821150502,AQ Marquee P3,Plus 1,106,4589.44
01/09/2020,A0821150503,AQ Marquee P3,Plus 2,172,7290.07
01/09/2020,A0821150504,AQ Marquee P3,Premium,197,8806.77
01/09/2020,A0921150601,AQ Marquee P4,Standard,56,2524.55
01/09/2020,A1018150101,AQ 5000 Series Electron 9 5900X Desktop Processor,Standard,91,10110.43
01/09/2020,A1018150102,AQ 5000 Series Electron 9 5900X Desktop Processor,Plus,51,6297.46
01/09/2020,A1018150103,AQ 5000 Series Electron 9 5900X Desktop Processor,Premium,159,19705.11
01/09/2020,A1118150201,AQ 5000 Series Electron 8 5900X Desktop Processor,Standard,106,13171.98
01/09/2020,A1118150202,AQ 5000 Series Electron 8 5900X Desktop Processor,Plus,33,4276.26
01/09/2020,A1119150203,AQ 5000 Series Electron 8 5900X Desktop Processor,Premium,158,22103.6
01/09/2020,A1219150301,AQ 5000 Series Ultron 8 5900X Desktop Processor,Standard,114,15467.77
01/09/2020,A1219150302,AQ 5000 Series Ultron 8 5900X Desktop Processor,Plus,168,24384.76
01/09/2020,A1219150303,AQ 5000 Series Ultron 8 5900X Desktop Processor,Premium,153,21869.85
01/09/2020,A1319150401,AQ Electron 5 3600 Desktop Processor,Standard,152,22663.72
01/09/2020,A1320150402,AQ Electron 5 3600 Desktop Processor,Plus,112,16827.44
01/09/2020,A1320150403,AQ Electron 5 3600 Desktop Processor,Premium,186,29888.56
01/09/2020,A1420150501,AQ Electron 4 3600 Desktop Processor,Standard,87,13964.21
01/09/2020,A1420150502,AQ Electron 4 3600 Desktop Processor,Plus,81,13729.49
01/09/2020,A1421150503,AQ Electron 4 3600 Desktop Processor,Premium,84,14820.87
